,1,2,3,4,5,6
1,26,29,33,23,26,25
2,11,13,13,28,21,30
3,9,11,3,2,2,4
4,2,3,3,2,2,3
5,6,1,1,1,1,3
6,0,2,4,8,2,5
7,1,2,2,3,3,3
8,4,1,2,6,5,3
9,0,0,1,4,0,5
10,0,0,1,2,5,2
